0	0	0	3584	208	4	0
01	0	0	1792	104	4	0
011	0	0	896	52	4	0
0111	0	0	448	26	0	0
0112	448	0	448	26	0	0
0113	0	26	448	26	4	0
01131	0	26	224	13	0	0
01132	224	26	224	13	0	0
01133	0	39	224	13	0	0
01134	224	39	224	13	4	0
011341	224	39	112	6	0	0
011342	336	39	112	6	0	0
011343	224	45	112	6	0	0
011344	336	45	112	6	0	2	152	186
0114	448	26	448	26	4	0
01141	448	26	224	13	4	0
011411	448	26	112	6	0	0
011412	560	26	112	6	0	0
011413	448	32	112	6	0	0
011414	560	32	112	6	0	1	167
01142	672	26	224	13	4	0
011421	672	26	112	6	0	0
011422	784	26	112	6	0	0
011423	672	32	112	6	0	2	153	187
011424	784	32	112	6	0	0
01143	448	39	224	13	4	0
011431	448	39	112	6	0	0
011432	560	39	112	6	0	1	167
011433	448	45	112	6	0	1	152
011434	560	45	112	6	0	1	167
01144	672	39	224	13	4	0
011441	672	39	112	6	0	2	153	187
011442	784	39	112	6	0	0
011443	672	45	112	6	0	2	153	187
011444	784	45	112	6	0	0
012	896	0	896	52	4	0
0121	896	0	448	26	0	0
0122	1344	0	448	26	4	0
01221	1344	0	224	13	0	0
01222	1568	0	224	13	0	0
01223	1344	13	224	13	4	0
012231	1344	13	112	6	0	0
012232	1456	13	112	6	0	0
012233	1344	19	112	6	0	1	177
012234	1456	19	112	6	0	1	177
01224	1568	13	224	13	0	0
0123	896	26	448	26	4	0
01231	896	26	224	13	4	0
012311	896	26	112	6	0	1	173
012312	1008	26	112	6	0	0
012313	896	32	112	6	0	1	173
012314	1008	32	112	6	0	0
01232	1120	26	224	13	4	0
012321	1120	26	112	6	0	1	175
012322	1232	26	112	6	0	0
012323	1120	32	112	6	0	1	175
012324	1232	32	112	6	0	0
01233	896	39	224	13	4	0
012331	896	39	112	6	0	1	173
012332	1008	39	112	6	0	0
012333	896	45	112	6	0	0
012334	1008	45	112	6	0	0
01234	1120	39	224	13	4	0
012341	1120	39	112	6	0	1	175
012342	1232	39	112	6	0	0
012343	1120	45	112	6	0	1	175
012344	1232	45	112	6	0	0
0124	1344	26	448	26	4	0
01241	1344	26	224	13	4	0
012411	1344	26	112	6	0	1	177
012412	1456	26	112	6	0	1	177
012413	1344	32	112	6	0	2	176	177
012414	1456	32	112	6	0	1	177
01242	1568	26	224	13	4	0
012421	1568	26	112	6	0	2	179	180
012422	1680	26	112	6	0	0
012423	1568	32	112	6	0	2	179	180
012424	1680	32	112	6	0	0
01243	1344	39	224	13	4	0
012431	1344	39	112	6	0	1	176
012432	1456	39	112	6	0	0
012433	1344	45	112	6	0	3	156	176	190
012434	1456	45	112	6	0	2	157	191
01244	1568	39	224	13	4	0
012441	1568	39	112	6	0	2	179	180
012442	1680	39	112	6	0	0
012443	1568	45	112	6	0	2	179	180
012444	1680	45	112	6	0	0
013	0	52	896	52	4	0
0131	0	52	448	26	4	0
01311	0	52	224	13	0	0
01312	224	52	224	13	4	0
013121	224	52	112	6	0	0
013122	336	52	112	6	0	2	152	186
013123	224	58	112	6	0	0
013124	336	58	112	6	0	2	152	186
01313	0	65	224	13	0	0
01314	224	65	224	13	0	0
0132	448	52	448	26	4	0
01321	448	52	224	13	4	0
013211	448	52	112	6	0	1	152
013212	560	52	112	6	0	1	167
013213	448	58	112	6	0	1	152
013214	560	58	112	6	0	1	167
01322	672	52	224	13	4	0
013221	672	52	112	6	0	0
013222	784	52	112	6	0	0
013223	672	58	112	6	0	0
013224	784	58	112	6	0	0
01323	448	65	224	13	4	0
013231	448	65	112	6	0	1	166
013232	560	65	112	6	0	5	0	1	2	3	4
013233	448	71	112	6	0	1	166
013234	560	71	112	6	0	5	0	1	2	3	4
01324	672	65	224	13	4	0
013241	672	65	112	6	0	3	5	6	7
013242	784	65	112	6	0	0
013243	672	71	112	6	0	3	5	6	7
013244	784	71	112	6	0	0
0133	0	78	448	26	4	0
01331	0	78	224	13	0	0
01332	224	78	224	13	4	0
013321	224	78	112	6	0	0
013322	336	78	112	6	0	2	151	185
013323	224	84	112	6	0	0
013324	336	84	112	6	0	2	151	185
01333	0	91	224	13	0	0
01334	224	91	224	13	4	0
013341	224	91	112	6	0	1	144
013342	336	91	112	6	0	4	26	145	151	185
013343	224	97	112	6	0	1	144
013344	336	97	112	6	0	2	26	145
0134	448	78	448	26	4	0
01341	448	78	224	13	4	0
013411	448	78	112	6	0	1	166
013412	560	78	112	6	0	5	0	1	2	3	4
013413	448	84	112	6	0	1	166
013414	560	84	112	6	0	0
01342	672	78	224	13	4	0
013421	672	78	112	6	0	3	5	6	7
013422	784	78	112	6	0	0
013423	672	84	112	6	0	0
013424	784	84	112	6	0	0
01343	448	91	224	13	4	0
013431	448	91	112	6	0	8	27	28	29	30	31	32	33	166
013432	560	91	112	6	0	1	34
013433	448	97	112	6	0	7	27	28	29	30	31	32	33
013434	560	97	112	6	0	1	34
01344	672	91	224	13	4	0
013441	672	91	112	6	0	0
013442	784	91	112	6	0	1	146
013443	672	97	112	6	0	0
013444	784	97	112	6	0	1	146
014	896	52	896	52	4	0
0141	896	52	448	26	4	0
01411	896	52	224	13	4	0
014111	896	52	112	6	0	0
014112	1008	52	112	6	0	0
014113	896	58	112	6	0	0
014114	1008	58	112	6	0	0
01412	1120	52	224	13	4	0
014121	1120	52	112	6	0	1	175
014122	1232	52	112	6	0	0
014123	1120	58	112	6	0	1	175
014124	1232	58	112	6	0	0
01413	896	65	224	13	4	0
014131	896	65	112	6	0	2	154	188
014132	1008	65	112	6	0	3	8	154	188
014133	896	71	112	6	0	2	154	188
014134	1008	71	112	6	0	3	8	154	188
01414	1120	65	224	13	4	0
014141	1120	65	112	6	0	3	9	10	11
014142	1232	65	112	6	0	4	12	13	14	15
014143	1120	71	112	6	0	3	9	10	11
014144	1232	71	112	6	0	4	12	13	14	15
0142	1344	52	448	26	4	0
01421	1344	52	224	13	4	0
014211	1344	52	112	6	0	2	156	190
014212	1456	52	112	6	0	2	157	191
014213	1344	58	112	6	0	2	156	190
014214	1456	58	112	6	0	2	157	191
01422	1568	52	224	13	4	0
014221	1568	52	112	6	0	2	179	180
014222	1680	52	112	6	0	0
014223	1568	58	112	6	0	3	178	179	180
014224	1680	58	112	6	0	0
01423	1344	65	224	13	0	0
01424	1568	65	224	13	4	0
014241	1568	65	112	6	0	5	16	17	18	19	178
014242	1680	65	112	6	0	4	20	21	22	23
014243	1568	71	112	6	0	5	16	17	18	19	178
014244	1680	71	112	6	0	4	20	21	22	23
0143	896	78	448	26	4	0
01431	896	78	224	13	4	0
014311	896	78	112	6	0	2	154	188
014312	1008	78	112	6	0	3	8	154	188
014313	896	84	112	6	0	0
